2024-07-01,0,08:30,17:30
2024-07-02,0,08:30,17:30
2024-07-03,0,08:30,17:30
2024-07-04,1,00:00,00:00
2024-07-05,0,08:30,17:30
2024-07-06,1,00:00,00:00
2024-07-07,0,08:30,17:30
2024-07-08,0,08:30,17:30
2024-07-09,0,08:30,17:30
2024-07-10,0,08:30,17:30
2024-07-11,0,08:30,17:30
2024-07-12,1,00:00,00:00
2024-07-13,1,00:00,00:00
2024-07-14,0,08:30,17:30
2024-07-15,0,08:30,17:30
2024-07-16,0,08:30,17:30
2024-07-17,0,08:30,17:30
2024-07-18,0,08:30,17:30
2024-07-19,0,08:30,17:30
2024-07-20,1,00:00,00:00
2024-07-21,0,08:30,17:30
2024-07-22,0,08:30,17:30
2024-07-23,0,08:30,17:30
2024-07-24,0,08:30,17:30
2024-07-25,0,08:30,17:30
2024-07-26,0,08:30,17:30
2024-07-27,1,00:00,00:00
2024-07-28,0,08:30,17:30
2024-07-29,0,08:30,17:30
2024-07-30,0,08:30,17:30
2024-07-31,0,08:30,17:30
2024-08-01,0,08:30,17:30
2024-08-02,0,08:30,17:30
2024-08-03,1,00:00,00:00
2024-08-04,0,08:30,17:30
2024-08-05,0,08:30,17:30
2024-08-06,0,08:30,17:30
2024-08-07,0,08:30,17:30
2024-08-08,0,08:30,17:30
2024-08-09,0,08:30,17:30
2024-08-10,1,00:00,00:00
2024-08-11,0,08:30,17:30
2024-08-12,0,08:30,17:30
2024-08-13,0,08:30,17:30
2024-08-14,0,08:30,17:30
2024-08-15,0,08:30,17:30
2024-08-16,0,08:30,17:30
2024-08-17,1,00:00,00:00
2024-08-18,0,08:30,17:30
2024-08-19,0,08:30,17:30
2024-08-20,0,08:30,17:30
2024-08-21,0,08:30,17:30
2024-08-22,0,08:30,17:30
2024-08-23,0,08:30,17:30
2024-08-24,1,00:00,00:00
2024-08-25,0,08:30,17:30
2024-08-26,0,08:30,17:30
2024-08-27,0,08:30,17:30
2024-08-28,0,08:30,17:30
2024-08-29,0,08:30,17:30
2024-08-30,0,08:30,17:30
2024-08-31,1,00:00,00:00
2024-09-01,0,08:30,17:30
2024-09-02,0,08:30,17:30
2024-09-03,0,08:30,17:30
2024-09-04,0,08:30,17:30
2024-09-05,0,08:30,17:30
2024-09-06,0,08:30,17:30
2024-09-07,1,00:00,00:00
2024-09-08,0,08:30,17:30
2024-09-09,0,08:30,17:30
2024-09-10,0,08:30,17:30
2024-09-11,0,08:30,17:30
2024-09-12,0,08:30,17:30
2024-09-13,0,08:30,17:30
2024-09-14,1,00:00,00:00
2024-09-15,0,08:30,17:30
2024-09-16,0,08:30,17:30
2024-09-17,0,08:30,17:30
2024-09-18,0,08:30,17:30
2024-09-19,0,08:30,17:30
2024-09-20,0,08:30,17:30
2024-09-21,1,00:00,00:00
2024-09-22,0,08:30,17:30
2024-09-23,0,08:30,17:30
2024-09-24,0,08:30,17:30
2024-09-25,0,08:30,17:30
2024-09-26,0,08:30,17:30
2024-09-27,0,08:30,17:30
2024-09-28,1,00:00,00:00
2024-09-29,0,08:30,17:30
2024-09-30,0,08:30,17:30
