2024-07-01,0,08:30,17:30
2024-07-02,0,08:30,17:30
2024-07-03,0,08:30,17:30
2024-07-04,1,00:00,00:00
2024-07-05,0,08:30,17:30
2024-07-06,1,00:00,00:00
2024-07-07,0,08:30,17:30
2024-07-08,0,08:30,17:30
2024-07-09,0,08:30,17:30
2024-07-10,0,08:30,17:30
2024-07-11,0,08:30,17:30
2024-07-12,1,08:30,17:30
2024-07-13,1,00:00,00:00
2024-07-14,0,08:30,17:30
2024-07-15,0,08:30,17:30
2024-07-16,0,08:30,17:30
2024-07-17,0,08:30,17:30
2024-07-18,0,08:30,17:30
2024-07-19,0,08:30,17:30
2024-07-20,1,00:00,00:00
2024-07-21,0,08:30,17:30
2024-07-22,0,08:30,17:30
2024-07-23,0,08:30,17:30
2024-07-24,0,08:30,17:30
2024-07-25,0,08:30,17:30
2024-07-26,0,08:30,17:30
2024-07-27,1,00:00,00:00
2024-07-28,0,08:30,17:30
2024-07-29,0,08:30,17:30
2024-07-30,0,08:30,17:30
2024-07-31,0,08:30,17:30
