T10001,10001,3300,375,100,6.6,13.75,2024,7,429,59.4,6.6,0,2024,7
T10001,10001,3300,375,100,6.6,13.75,2024,7,429,59.4,6.6,0,2024,7
T10002,10002,7000,375,200,14,29.17,2024,7,910,126,14,0,2024,7
T10003,10003,3400,375,100,6.8,14.17,2024,7,442,61.2,6.8,0,2024,7
T10004,10004,3200,375,100,6.4,13.33,2024,7,416,57.6,6.4,0,2024,7
T10005,10005,7400,375,200,14.8,30.83,2024,7,962,133.2,14.8,0,2024,7
T10006,10006,3500,375,100,7,14.58,2024,7,455,63,7,0,2024,7
T10007,10007,3300,375,100,6.6,13.75,2024,7,429,59.4,6.6,0,2024,7
T10008,10008,3200,375,100,6.4,13.33,2024,7,416,57.6,6.4,0,2024,7
T10009,10009,7800,375,200,15.6,32.5,2024,7,1014,140.4,15.6,0,2024,7
T10010,10010,3700,375,100,7.4,15.42,2024,7,481,66.6,7.4,0,2024,7
T10011,10011,3400,375,100,6.8,14.17,2024,7,442,61.2,6.8,0,2024,7
T10012,10012,3300,375,100,6.6,13.75,2024,7,429,59.4,6.6,0,2024,7
T10013,10013,7400,375,200,15.6,30.83,2024,7,962,133.2,15.6,0,2024,7
T10014,10014,3700,375,100,7.4,15.42,2024,7,481,66.6,7.4,0,2024,7
T10015,10015,3200,375,100,6.4,13.33,2024,7,416,57.6,6.4,0,2024,7
T10016,10016,7800,375,200,15.6,32.5,2024,7,1014,140.4,15.6,0,2024,7
T10017,10017,3500,375,100,7,14.58,2024,7,455,63,7,0,2024,7
T10018,10018,3300,375,100,6.6,13.75,2024,7,429,59.4,6.6,0,2024,7
T10019,10019,7000,375,200,14,29.17,2024,7,910,126,14,0,2024,7
T10020,10020,3300,375,100,6.6,13.75,2024,7,429,59.4,6.6,0,2024,7
